"city","city_ascii","state_id","state_name","county_fips","county_name","county_fips_all","county_name_all","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"South Creek","South Creek","WA","Washington","53053","Pierce","53053","Pierce","46.9994","-122.3921","2500","125","polygon","FALSE","TRUE","America/Los_Angeles","3","98580 98387 98338","1840042075"
"Roslyn","Roslyn","WA","Washington","53037","Kittitas","53037","Kittitas","47.2507","-121.0989","947","84","polygon","FALSE","TRUE","America/Los_Angeles","3","98941 98068 98925","1840019842"
"Sprague","Sprague","WA","Washington","53043","Lincoln","53043","Lincoln","47.3048","-117.9713","441","163","polygon","FALSE","TRUE","America/Los_Angeles","3","99032","1840021107"
"Gig Harbor","Gig Harbor","WA","Washington","53053","Pierce","53053","Pierce","47.3352","-122.5968","9507","622","polygon","FALSE","TRUE","America/Los_Angeles","3","98332 98335","1840019855"
"Lake Cassidy","Lake Cassidy","WA","Washington","53061","Snohomish","53061","Snohomish","48.0639","-122.0920","3591","131","polygon","FALSE","TRUE","America/Los_Angeles","3","98223 98258 98270","1840041959"
"Tenino","Tenino","WA","Washington","53067","Thurston","53067","Thurston","46.8537","-122.8607","1830","491","polygon","FALSE","TRUE","America/Los_Angeles","3","98589","1840021144"
"Jamestown","Jamestown","WA","Washington","53009","Clallam","53009","Clallam","48.1229","-123.0911","289","191","polygon","FALSE","FALSE","America/Los_Angeles","3","98382","1840037668"
"Three Lakes","Three Lakes","WA","Washington","53061","Snohomish","53061","Snohomish","47.9420","-121.9924","3390","112","polygon","FALSE","FALSE","America/Los_Angeles","3","98290","1840018375"
"Curlew Lake","Curlew Lake","WA","Washington","53019","Ferry","53019","Ferry","48.7311","-118.6663","573","50","polygon","FALSE","TRUE","America/Los_Angeles","3","99166","1840043278"
"Chain Lake","Chain Lake","WA","Washington","53061","Snohomish","53061","Snohomish","47.9038","-121.9861","4280","156","polygon","FALSE","TRUE","America/Los_Angeles","3","98290","1840041915"
"Pateros","Pateros","WA","Washington","53047","Okanogan","53047","Okanogan","48.0536","-119.8994","701","536","polygon","FALSE","TRUE","America/Los_Angeles","3","98846","1840019763"
"Rosburg","Rosburg","WA","Washington","53069","Wahkiakum","53069","Wahkiakum","46.3076","-123.6344","385","6","polygon","FALSE","FALSE","America/Los_Angeles","3","98643","1840023878"
"Parkland","Parkland","WA","Washington","53053","Pierce","53053","Pierce","47.1417","-122.4376","37019","1653","polygon","FALSE","FALSE","America/Los_Angeles","3","98444 98445 98447 98448","1840018453"
"Birch Bay","Birch Bay","WA","Washington","53073","Whatcom","53073","Whatcom","48.9230","-122.7543","8642","208","polygon","FALSE","FALSE","America/Los_Angeles","3","98230","1840017289"
"Ashford","Ashford","WA","Washington","53053","Pierce","53053","Pierce","46.7537","-122.0113","162","30","polygon","FALSE","FALSE","America/Los_Angeles","3","98304","1840017363"
"Navy Yard City","Navy Yard City","WA","Washington","53035","Kitsap","53035","Kitsap","47.5508","-122.6655","3154","1978","polygon","FALSE","FALSE","America/Los_Angeles","3","98312","1840018407"
"Omak","Omak","WA","Washington","53047","Okanogan","53047","Okanogan","48.4228","-119.5159","8130.0","478","polygon","FALSE","TRUE","America/Los_Angeles","3","98841","1840019761"
"Farmington","Farmington","WA","Washington","53075","Whitman","53075","Whitman","47.0887","-117.0464","154","164","polygon","FALSE","TRUE","America/Los_Angeles","3","99128","1840021140"
"Buckley","Buckley","WA","Washington","53053","Pierce","53053","Pierce","47.1615","-122.0200","4819","482","polygon","FALSE","TRUE","America/Los_Angeles","3","98321","1840018455"
"Cathcart","Cathcart","WA","Washington","53061","Snohomish","53061","Snohomish","47.8525","-122.1058","2506","250","polygon","FALSE","FALSE","America/Los_Angeles","3","98296","1840017324"
"Poulsbo","Poulsbo","WA","Washington","53035","Kitsap","53035","Kitsap","47.7417","-122.6408","10670","869","polygon","FALSE","TRUE","America/Los_Angeles","3","98370","1840019822"
"Anacortes","Anacortes","WA","Washington","53057","Skagit","53057","Skagit","48.4878","-122.6292","17955.0","559","polygon","FALSE","TRUE","America/Los_Angeles","3","98221","1840018366"
"Maplewood","Maplewood","WA","Washington","53053","Pierce","53053","Pierce","47.3715","-122.5689","5340","248","polygon","FALSE","FALSE","America/Los_Angeles","3","98332","1840037569"
"Creston","Creston","WA","Washington","53043","Lincoln","53043","Lincoln","47.7595","-118.5200","226","212","polygon","FALSE","TRUE","America/Los_Angeles","3","99117","1840021109"
"Rockford","Rockford","WA","Washington","53063","Spokane","53063","Spokane","47.4513","-117.1307","477","271","polygon","FALSE","TRUE","America/Los_Angeles","3","99030","1840021095"
"Wishram","Wishram","WA","Washington","53039","Klickitat","53039","Klickitat","45.6599","-120.9698","438","131","polygon","FALSE","FALSE","America/Los_Angeles","3","98673","1840018528"
"Centralia","Centralia","WA","Washington","53041","Lewis","53041","Lewis","46.7225","-122.9695","41643.0","883","polygon","FALSE","TRUE","America/Los_Angeles","3","98531","1840018471"
"South Hill","South Hill","WA","Washington","53053","Pierce","53053","Pierce","47.1203","-122.2848","56379","1185","polygon","FALSE","FALSE","America/Los_Angeles","3","98375 98374 98373","1840037886"
"Longview Heights","Longview Heights","WA","Washington","53015","Cowlitz","53015","Cowlitz","46.1796","-122.9577","3678","337","polygon","FALSE","FALSE","America/Los_Angeles","3","98632","1840037874"
"Erlands Point-Kitsap Lake","Erlands Point-Kitsap Lake","WA","Washington","53035","Kitsap","53035","Kitsap","47.5973","-122.7021","2973","655","polygon","FALSE","TRUE","America/Los_Angeles","3","98312","1840073915"
"Amboy","Amboy","WA","Washington","53011","Clark","53011","Clark","45.9122","-122.4795","2027","78","polygon","FALSE","FALSE","America/Los_Angeles","3","98601 98675","1840017396"
"St. John","St. John","WA","Washington","53075","Whitman","53075","Whitman","47.0915","-117.5887","561","322","polygon","FALSE","TRUE","America/Los_Angeles","3","99171","1840021139"
"Dallesport","Dallesport","WA","Washington","53039","Klickitat","53039","Klickitat","45.6316","-121.1749","1739","99","polygon","FALSE","FALSE","America/Los_Angeles","3","98617 98635","1840018525"
"Ketron Island","Ketron Island","WA","Washington","53053","Pierce","53053","Pierce","47.1569","-122.6343","0","0","polygon","FALSE","TRUE","America/Los_Angeles","3","98388","1840037558"
"Mesa","Mesa","WA","Washington","53021","Franklin","53021","Franklin","46.5737","-119.0013","503","119","polygon","FALSE","TRUE","America/Los_Angeles","3","99326 99343","1840019887"
"Fife","Fife","WA","Washington","53053","Pierce","53053","Pierce","47.2328","-122.3518","10154","684","polygon","FALSE","TRUE","America/Los_Angeles","3","98424","1840019853"
"Moses Lake North","Moses Lake North","WA","Washington","53025","Grant","53025","Grant","47.1949","-119.3186","3787","264","polygon","FALSE","TRUE","America/Los_Angeles","3","98837","1840074436"
"Chewelah","Chewelah","WA","Washington","53065","Stevens","53065","Stevens","48.2929","-117.7336","2637","341","polygon","FALSE","TRUE","America/Los_Angeles","3","99109","1840018360"
"Grayland","Grayland","WA","Washington","53027","Grays Harbor","53027","Grays Harbor","46.8304","-124.0898","756","42","polygon","FALSE","FALSE","America/Los_Angeles","3","98547","1840017360"
"Kittitas","Kittitas","WA","Washington","53037","Kittitas","53037","Kittitas","46.9837","-120.4191","1491","729","polygon","FALSE","TRUE","America/Los_Angeles","3","98934 98926","1840019843"
"Camano","Camano","WA","Washington","53029","Island","53029","Island","48.1865","-122.4708","15989","155","polygon","FALSE","FALSE","America/Los_Angeles","3","98282","1840037492"
"Monroe North","Monroe North","WA","Washington","53061","Snohomish","53061","Snohomish","47.8830","-121.9882","1704","282","polygon","FALSE","TRUE","America/Los_Angeles","3","98290 98272","1840042006"
"North Bonneville","North Bonneville","WA","Washington","53059","Skamania","53059","Skamania","45.6425","-121.9689","999","154","polygon","FALSE","TRUE","America/Los_Angeles","3","98648 98639","1840019903"
"Klickitat","Klickitat","WA","Washington","53039","Klickitat","53039","Klickitat","45.8180","-121.1626","358","147","polygon","FALSE","FALSE","America/Los_Angeles","3","98628","1840017404"
"Loon Lake","Loon Lake","WA","Washington","53065","Stevens","53065","Stevens","48.0685","-117.6298","784","92","polygon","FALSE","FALSE","America/Los_Angeles","3","99148","1840023998"
"Newport","Newport","WA","Washington","53051","Pend Oreille","53051","Pend Oreille","48.1788","-117.0545","2635.0","624","polygon","FALSE","TRUE","America/Los_Angeles","3","99156","1840019765"
"Mead","Mead","WA","Washington","53063","Spokane","53063","Spokane","47.7795","-117.3500","6859","364","polygon","FALSE","FALSE","America/Los_Angeles","3","99021","1840023786"
"Cashmere","Cashmere","WA","Washington","53007","Chelan","53007","Chelan","47.5175","-120.4671","4864.0","1061","polygon","FALSE","TRUE","America/Los_Angeles","3","98815","1840018368"
"Aberdeen Gardens","Aberdeen Gardens","WA","Washington","53027","Grays Harbor","53027","Grays Harbor","47.0587","-123.7791","283","67","polygon","FALSE","FALSE","America/Los_Angeles","3","98520","1840037845"
"Ocean Shores","Ocean Shores","WA","Washington","53027","Grays Harbor","53027","Grays Harbor","46.9685","-124.1521","5553.0","268","polygon","FALSE","TRUE","America/Los_Angeles","3","98569","1840019849"
"Basin City","Basin City","WA","Washington","53021","Franklin","53021","Franklin","46.5891","-119.1567","1281","155","polygon","FALSE","FALSE","America/Los_Angeles","3","99343","1840017379"
"Wilkeson","Wilkeson","WA","Washington","53053","Pierce","53053","Pierce","47.1034","-122.0495","507","420","polygon","FALSE","TRUE","America/Los_Angeles","3","98396","1840022310"
"Meadow Glade","Meadow Glade","WA","Washington","53011","Clark","53011","Clark","45.7524","-122.5614","2895","307","polygon","FALSE","FALSE","America/Los_Angeles","3","98604","1840018517"
"Arlington Heights","Arlington Heights","WA","Washington","53061","Snohomish","53061","Snohomish","48.2119","-122.0630","2826","129","polygon","FALSE","FALSE","America/Los_Angeles","3","98223","1840037743"
"Uniontown","Uniontown","WA","Washington","53075","Whitman","53075","Whitman","46.5391","-117.0861","343","143","polygon","FALSE","TRUE","America/Los_Angeles","3","99179","1840022316"
"Oakesdale","Oakesdale","WA","Washington","53075","Whitman","53075","Whitman","47.1305","-117.2465","442","164","polygon","FALSE","TRUE","America/Los_Angeles","3","99158","1840022314"
"West Side Highway","West Side Highway","WA","Washington","53015","Cowlitz","53015","Cowlitz","46.1841","-122.9178","5902","901","polygon","FALSE","TRUE","America/Los_Angeles","3","98626 98632","1840037246"
"Conconully","Conconully","WA","Washington","53047","Okanogan","53047","Okanogan","48.5571","-119.7513","208","300","polygon","FALSE","TRUE","America/Los_Angeles","3","98819","1840022269"
"Latah","Latah","WA","Washington","53063","Spokane","53063","Spokane","47.2822","-117.1557","187","225","polygon","FALSE","TRUE","America/Los_Angeles","3","99018","1840021097"
"Elma","Elma","WA","Washington","53027","Grays Harbor","53027","Grays Harbor","47.0055","-123.4112","3092","468","polygon","FALSE","TRUE","America/Los_Angeles","3","98541","1840019844"
"Tieton","Tieton","WA","Washington","53077","Yakima","53077","Yakima","46.7026","-120.7560","1294","570","polygon","FALSE","TRUE","America/Los_Angeles","3","98947","1840022319"
"Southworth","Southworth","WA","Washington","53035","Kitsap","53035","Kitsap","47.5126","-122.5298","2280","260","polygon","FALSE","FALSE","America/Los_Angeles","3","98366 98384 98386","1840023800"
"Danville","Danville","WA","Washington","53019","Ferry","53019","Ferry","48.9938","-118.5068","19","41","polygon","FALSE","FALSE","America/Los_Angeles","3","99121","1840037761"
"Toppenish","Toppenish","WA","Washington","53077","Yakima","53077","Yakima","46.3807","-120.3125","14441.0","1627","polygon","FALSE","TRUE","America/Los_Angeles","3","98948","1840021151"
"River Road","River Road","WA","Washington","53009","Clallam","53009","Clallam","48.0677","-123.1276","952","1055","polygon","FALSE","FALSE","America/Los_Angeles","3","98382","1840037861"
"Geneva","Geneva","WA","Washington","53073","Whatcom","53073","Whatcom","48.7461","-122.4064","2632","958","polygon","FALSE","FALSE","America/Los_Angeles","3","98229","1840017291"
"Yakima","Yakima","WA","Washington","53077","Yakima","53077","Yakima","46.5923","-120.5496","133233.0","1302","polygon","FALSE","TRUE","America/Los_Angeles","2","98901 98903 98902 98908 98904 98907","1840021154"
"Moxee","Moxee","WA","Washington","53077","Yakima","53077","Yakima","46.5638","-120.3968","4032","670","polygon","FALSE","TRUE","America/Los_Angeles","3","98936 98901","1840037381"
"Edmonds","Edmonds","WA","Washington","53061","Snohomish","53061","Snohomish","47.8114","-122.3533","42209","1829","polygon","FALSE","TRUE","America/Los_Angeles","3","98026 98020","1840037645"
"Kalama","Kalama","WA","Washington","53015","Cowlitz","53015","Cowlitz","46.0171","-122.8393","3794.0","297","polygon","FALSE","TRUE","America/Los_Angeles","3","98625","1840018502"
"Laurier","Laurier","WA","Washington","53019","Ferry","53019","Ferry","48.9974","-118.2248","0","0","polygon","FALSE","FALSE","America/Los_Angeles","3","99146","1840026092"
"Vashon","Vashon","WA","Washington","53033","King","53033","King","47.4122","-122.4726","9635","100","polygon","FALSE","FALSE","America/Los_Angeles","3","98070 98013","1840018414"
"Country Homes","Country Homes","WA","Washington","53063","Spokane","53063","Spokane","47.7478","-117.4197","5730","1339","polygon","FALSE","FALSE","America/Los_Angeles","3","99208 99218 99251","1840017334"
"Darrington","Darrington","WA","Washington","53061","Snohomish","53061","Snohomish","48.2546","-121.6029","1406","306","polygon","FALSE","TRUE","America/Los_Angeles","3","98241","1840021081"
"Metaline Falls","Metaline Falls","WA","Washington","53051","Pend Oreille","53051","Pend Oreille","48.8616","-117.3706","245","446","polygon","FALSE","TRUE","America/Los_Angeles","3","99153","1840022277"
"Lyle","Lyle","WA","Washington","53039","Klickitat","53039","Klickitat","45.6956","-121.2805","548","299","polygon","FALSE","FALSE","America/Los_Angeles","3","98635","1840017402"
"Cascade Valley","Cascade Valley","WA","Washington","53025","Grant","53025","Grant","47.1371","-119.3272","1797","232","polygon","FALSE","FALSE","America/Los_Angeles","3","98837","1840037865"
"Spangle","Spangle","WA","Washington","53063","Spokane","53063","Spokane","47.4299","-117.3812","307","339","polygon","FALSE","TRUE","America/Los_Angeles","3","99031","1840022290"
"Methow","Methow","WA","Washington","53047","Okanogan","53047","Okanogan","48.1289","-120.0056","78","44","polygon","FALSE","FALSE","America/Los_Angeles","3","98834","1840025237"
"Waterville","Waterville","WA","Washington","53017","Douglas","53017","Douglas","47.6480","-120.0707","1198","533","polygon","FALSE","TRUE","America/Los_Angeles","3","98858","1840022287"
"Lake Roesiger","Lake Roesiger","WA","Washington","53061","Snohomish","53061","Snohomish","47.9839","-121.9129","657","64","polygon","FALSE","FALSE","America/Los_Angeles","3","98290","1840037853"
"Milton","Milton","WA","Washington","53053","Pierce","53053|53033","Pierce|King","47.2522","-122.3154","8230","1185","polygon","FALSE","TRUE","America/Los_Angeles","3","98003 98354","1840019857"
"Krupp","Krupp","WA","Washington","53025","Grant","53025","Grant","47.4105","-118.9886","50","32","polygon","FALSE","TRUE","America/Los_Angeles","3","98832","1840074934"
